PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.NBL1_1Mwindow.wgt.RDat	NBL1	1	19469723	20484945	0.1242	rs3929668	-3.06	rs10917493	 3.44e-02	 -4.60	 1.598	516	516	blup	0.037	1.6e-09	-1.6570	0.0975
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.MDS2_1Mwindow.wgt.RDat	MDS2	1	23453824	24467058	0.0453	rs6703825	-1.93	rs34570472	 9.83e-03	  4.60	-0.712	326	326	blup	0.02	8.4e-06	-0.5662	0.5713
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.THEM4_1Mwindow.wgt.RDat	THEM4	1	151343342	152381987	0.0354	rs2050631	 2.41	rs13320	 1.76e-02	 -4.96	-0.426	334	1	top1	0.018	2.5e-05	 0.4260	0.6701
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.PHACTR4_1Mwindow.wgt.RDat	PHACTR4	1	28196251	29326876	0.0134	rs157231	-2.31	rs4908398	 9.90e-03	 -4.37	 0.974	310	1	top1	0.0099	0.0012	-0.9740	0.3301
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.ANGPTL1_1Mwindow.wgt.RDat	ANGPTL1	1	178318670	179340212	1.0	rs12133376	-2.46	rs12083856	-1.05e-03	  8.16	 0.842	416	1	top1	-0.001	0.92	 0.8420	0.3998
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.ZNF644_1Mwindow.wgt.RDat	ZNF644	1	90880861	91987592	0.0312	rs165277	 2.81	rs1034499	 4.03e-05	  3.26	 0.507	442	442	blup	0.0069	0.0059	 1.0204	0.3075
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.CHI3L2_1Mwindow.wgt.RDat	CHI3L2	1	111270281	112286062	0.045	rs1264874	-3.02	rs7514853	 2.58e-03	  3.77	-0.038	566	566	blup	0.011	0.00056	 0.2998	0.7643
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.LINC01354_1Mwindow.wgt.RDat	LINC01354	1	234163637	235167525	0.0838		   NA		       NA	    NA	    NA	0	0	lasso	0.002	0.091	     NA	    NA
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.SLC35D1_1Mwindow.wgt.RDat	SLC35D1	1	66965033	68019831	0.0268	rs2755263	-3.29	rs4655625	-1.04e-03	  3.40	 0.164	547	547	blup	0.01	0.0011	 0.6829	0.4947
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.GSTM1_1Mwindow.wgt.RDat	GSTM1	1	109730439	110736367	0.0694		   NA		       NA	    NA	    NA	429	0	lasso	0.027	2e-07	     NA	    NA
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.GSTM4_1Mwindow.wgt.RDat	GSTM4	1	109698721	110708119	0.0725		   NA		       NA	    NA	    NA	0	0	lasso	0.06	9.6e-15	     NA	    NA
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.THEMIS2_1Mwindow.wgt.RDat	THEMIS2	1	27699055	28713186	0.0877	rs6686978	-1.80	rs6679432	 6.17e-02	 -7.74	-0.772	224	7	enet	0.072	3e-17	 1.7608	0.0783
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.C1orf52_1Mwindow.wgt.RDat	C1orf52	1	85215636	86225345	0.0287	rs2892842	 2.62	rs817387	-9.33e-04	 -3.31	-0.240	561	561	blup	0.0081	0.0032	-0.1226	0.9025
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.CLDN19_1Mwindow.wgt.RDat	CLDN19	1	42698764	43705907	0.0643	rs584672	 2.54	rs2453410	-9.94e-04	  4.83	 0.808	395	1	top1	-0.00099	0.81	 0.8079	0.4191
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.USF1_1Mwindow.wgt.RDat	USF1	1	160509041	161515767	0.0324	rs11576837	-2.48	rs1023115	 5.54e-03	  5.01	 0.345	430	2	enet	0.018	1.8e-05	 0.3732	0.7090
