PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
gdT	RA_only/gdT_5pcs_all/gdT.PRDM16-DT_1Mwindow.wgt.RDat	PRDM16-DT	1	2476181	3484289	0.0543		   NA		       NA	    NA	     NA	328	0	top1	0.0025	0.066	     NA	     NA
gdT	RA_only/gdT_5pcs_all/gdT.ANXA9_1Mwindow.wgt.RDat	ANXA9	1	150454768	151468110	0.0288	rs12132918	-3.58	rs10305740	-8.45e-04	  5.73	-0.8983	298	1	top1	-0.00085	0.65	-0.8983	0.36900
gdT	RA_only/gdT_5pcs_all/gdT.CD52_1Mwindow.wgt.RDat	CD52	1	26144449	27147014	0.0279	rs1317709	-2.68	rs7555931	-6.15e-04	 -3.71	 1.0544	391	391	blup	0.0041	0.028	-0.5130	0.60792
gdT	RA_only/gdT_5pcs_all/gdT.PPOX_1Mwindow.wgt.RDat	PPOX	1	160636216	161641010	0.0266	rs4078110	 3.18	rs16832823	 1.20e-02	  4.11	-0.2827	369	369	blup	0.015	0.0001	 0.5801	0.56185
gdT	RA_only/gdT_5pcs_all/gdT.CHI3L2_1Mwindow.wgt.RDat	CHI3L2	1	111270281	112286062	0.1094	rs1282018	-2.72	rs654997	 7.87e-02	  8.81	-0.7346	566	1	top1	0.079	9.2e-19	-0.7346	0.46260
gdT	RA_only/gdT_5pcs_all/gdT.SFN_1Mwindow.wgt.RDat	SFN	1	26689640	27690947	0.0244		   NA		       NA	    NA	     NA	243	0	top1	-0.001	0.87	     NA	     NA
gdT	RA_only/gdT_5pcs_all/gdT.XCL2_1Mwindow.wgt.RDat	XCL2	1	168010006	169013235	0.1542	rs857646	 3.14	rs1323533	 1.15e-01	-10.84	-0.5429	514	1	lasso	0.12	1.4e-27	 0.5429	0.58720
gdT	RA_only/gdT_5pcs_all/gdT.LINC00339_1Mwindow.wgt.RDat	LINC00339	1	21851684	22857717	0.0448	rs4589080	 3.03	rs2235529	 1.87e-02	 -4.42	 0.4312	503	1	lasso	0.027	2.1e-07	-0.0592	0.95277
gdT	RA_only/gdT_5pcs_all/gdT.KCNAB2_1Mwindow.wgt.RDat	KCNAB2	1	5552736	6661240	0.0295		   NA		       NA	    NA	     NA	515	0	blup	0.01	0.0012	     NA	     NA
gdT	RA_only/gdT_5pcs_all/gdT.PPIAL4G_1Mwindow.wgt.RDat	PPIAL4G	1	147454635	148455394	0.0419		   NA		       NA	    NA	     NA	  0	0	lasso	0.027	2.3e-07	     NA	     NA
