PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.NBL1_1Mwindow.wgt.RDat	NBL1	1	19469723	20484945	0.1242	rs2294630	 4.50	rs10917493	 3.44e-02	 -4.60	 0.238	516	516	blup	0.037	1.6e-09	-1.2917	0.1965
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.MDS2_1Mwindow.wgt.RDat	MDS2	1	23453824	24467058	0.0453	rs6682222	 3.11	rs34570472	 9.83e-03	  4.60	 1.804	326	326	blup	0.02	8.4e-06	 0.6004	0.5482
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.THEM4_1Mwindow.wgt.RDat	THEM4	1	151343342	152381987	0.0354	rs3007690	-1.95	rs13320	 1.76e-02	 -4.96	-0.854	334	1	top1	0.018	2.5e-05	 0.8540	0.3931
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.PHACTR4_1Mwindow.wgt.RDat	PHACTR4	1	28196251	29326876	0.0134	rs2930838	 2.73	rs4908398	 9.90e-03	 -4.37	-1.150	310	1	top1	0.0099	0.0012	 1.1500	0.2501
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.ANGPTL1_1Mwindow.wgt.RDat	ANGPTL1	1	178318670	179340212	1.0	rs2152319	 3.27	rs12083856	-1.05e-03	  8.16	 1.410	416	1	top1	-0.001	0.92	 1.4100	0.1585
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.ZNF644_1Mwindow.wgt.RDat	ZNF644	1	90880861	91987592	0.0312	rs12030148	-2.58	rs1034499	 4.03e-05	  3.26	 0.326	442	442	blup	0.0069	0.0059	-0.6229	0.5333
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.CHI3L2_1Mwindow.wgt.RDat	CHI3L2	1	111270281	112286062	0.045	rs10489472	-2.92	rs7514853	 2.58e-03	  3.77	 2.460	566	566	blup	0.011	0.00056	 2.2769	0.0228
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.LINC01354_1Mwindow.wgt.RDat	LINC01354	1	234163637	235167525	0.0838		   NA		       NA	    NA	    NA	0	0	lasso	0.002	0.091	     NA	    NA
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.SLC35D1_1Mwindow.wgt.RDat	SLC35D1	1	66965033	68019831	0.0268	rs9988438	-3.00	rs4655625	-1.04e-03	  3.40	 0.034	547	547	blup	0.01	0.0011	-0.3622	0.7172
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.GSTM1_1Mwindow.wgt.RDat	GSTM1	1	109730439	110736367	0.0694	rs4246519	 2.46	rs2239892	 1.81e-02	  4.63	-0.891	429	1	lasso	0.027	2e-07	-0.8910	0.3729
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.GSTM4_1Mwindow.wgt.RDat	GSTM4	1	109698721	110708119	0.0725		   NA		       NA	    NA	    NA	0	0	lasso	0.06	9.6e-15	     NA	    NA
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.THEMIS2_1Mwindow.wgt.RDat	THEMIS2	1	27699055	28713186	0.0877	rs3767307	-2.49	rs6679432	 6.17e-02	 -7.74	-0.165	224	7	enet	0.072	3e-17	-1.0805	0.2799
CD8_Naive	RA_only/CD8_Naive_5pcs_all/CD8_Naive.C1orf52_1Mwindow.wgt.RDat	C1orf52	1	85215636	86225345	0.0287	rs12024356	 2.66	rs817387	-9.33e-04	 -3.31	 1.511	561	561	blup	0.0081	0.0032	-1.2884	0.1976
