PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.GSTM3_1Mwindow.wgt.RDat	GSTM3	1	109776559	110783660	0.2185	rs6537880	-3.18	rs1332018	 1.66e-01	-12.78	 1.8150	416	3	lasso	0.18	2.4999999999999997e-43	-1.5027	0.132923
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.SLC44A5_1Mwindow.wgt.RDat	SLC44A5	1	75167814	76581848	0.0357	rs17660531	 1.73	rs6703099	-1.00e-03	  4.34	 0.6940	567	567	blup	0.018	2e-05	-0.4639	0.642691
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.OR2L8_1Mwindow.wgt.RDat	OR2L8	1	247612160	248613098	0.0401	rs880143	-2.66	rs12756270	-7.80e-04	  4.61	 0.8102	418	1	lasso	-0.00034	0.41	 0.8102	0.417840
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.MED8_1Mwindow.wgt.RDat	MED8	1	43349588	44355471	0.0228		   NA		       NA	    NA	     NA	0	0	enet	0.017	3.2e-05	     NA	      NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.NDUFS5_1Mwindow.wgt.RDat	NDUFS5	1	38992022	40000287	0.1058		   NA		       NA	    NA	     NA	0	0	lasso	0.11	3.9999999999999996e-26	     NA	      NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.FCRL1_1Mwindow.wgt.RDat	FCRL1	1	157264193	158289910	0.0333	rs3843307	 2.79	rs12064217	 3.33e-03	  4.58	 1.5320	481	5	enet	0.015	6.9e-05	 1.1010	0.270895
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.GSTM1_1Mwindow.wgt.RDat	GSTM1	1	109730439	110736367	0.1033		   NA		       NA	    NA	     NA	429	0	top1	0.062	2e-15	     NA	      NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.ATP1B1_1Mwindow.wgt.RDat	ATP1B1	1	168575928	169601957	0.0345	rs10800364	-2.76	rs17349586	 5.94e-03	  4.62	 0.1110	603	5	enet	0.0071	0.0049	 0.3592	0.719412
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.PADI4_1Mwindow.wgt.RDat	PADI4	1	17134692	18190499	0.0315	rs12078935	-2.72	rs2526833	 1.14e-02	  4.72	 0.9370	459	1	top1	0.011	0.00052	 0.9370	0.348759
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.NPPA_1Mwindow.wgt.RDat	NPPA	1	11405766	12407840	0.1543	rs11121778	 2.63	rs11121901	-1.03e-03	  7.75	-0.1870	435	1	lasso	-0.00097	0.81	-0.8670	0.385942
