PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.GSTM3_1Mwindow.wgt.RDat	GSTM3	1	109776559	110783660	0.2185	rs10494040	 3.83	rs1332018	 1.66e-01	-12.78	-2.3976	416	3	lasso	0.18	2.4999999999999997e-43	 2.5488	1.08e-02
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.SLC44A5_1Mwindow.wgt.RDat	SLC44A5	1	75167814	76581848	0.0357	rs616827	-2.43	rs6703099	-1.00e-03	  4.34	-0.5415	567	567	blup	0.018	2e-05	-1.3860	1.66e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.OR2L8_1Mwindow.wgt.RDat	OR2L8	1	247612160	248613098	0.0401	rs6681483	 3.10	rs12756270	-7.80e-04	  4.61	-1.1653	418	1	lasso	-0.00034	0.41	-1.1653	2.44e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.MED8_1Mwindow.wgt.RDat	MED8	1	43349588	44355471	0.0228		   NA		       NA	    NA	     NA	0	0	enet	0.017	3.2e-05	     NA	      NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.NDUFS5_1Mwindow.wgt.RDat	NDUFS5	1	38992022	40000287	0.1058		   NA		       NA	    NA	     NA	0	0	lasso	0.11	3.9999999999999996e-26	     NA	      NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.FCRL1_1Mwindow.wgt.RDat	FCRL1	1	157264193	158289910	0.0333	rs12403172	-3.61	rs12064217	 3.33e-03	  4.58	 0.2057	481	5	enet	0.015	6.9e-05	-0.2657	7.90e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.GSTM1_1Mwindow.wgt.RDat	GSTM1	1	109730439	110736367	0.1033	rs10494040	 3.83	rs2239892	 6.23e-02	  4.93	-0.8337	429	1	top1	0.062	2e-15	-0.8337	4.04e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.ATP1B1_1Mwindow.wgt.RDat	ATP1B1	1	168575928	169601957	0.0345	rs736846	 4.24	rs17349586	 5.94e-03	  4.62	 1.1582	603	5	enet	0.0071	0.0049	 1.0313	3.02e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.PADI4_1Mwindow.wgt.RDat	PADI4	1	17134692	18190499	0.0315	rs4920380	-3.14	rs2526833	 1.14e-02	  4.72	-0.0072	459	1	top1	0.011	0.00052	-0.0072	9.94e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.NPPA_1Mwindow.wgt.RDat	NPPA	1	11405766	12407840	0.1543	rs4491070	 5.43	rs11121901	-1.03e-03	  7.75	 1.6798	435	1	lasso	-0.00097	0.81	-0.0874	9.30e-01
