PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.CDA_1Mwindow.wgt.RDat	CDA	1	20415590	21445396	0.07847	rs12021529	  5.03	rs532545	 0.011851	  4.91	 -1.711	482	482	blup	0.029	1.1e-07	 0.5177	6.05e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.LINC02474_1Mwindow.wgt.RDat	LINC02474	1	221639752	222658306	0.04327	rs12086252	  3.45	rs17011440	-0.000325	  4.93	  0.215	439	439	blup	0.0041	0.028	 1.5538	1.20e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.NOS1AP_1Mwindow.wgt.RDat	NOS1AP	1	161539481	162840265	0.03277		    NA		       NA	    NA	     NA	0	0	enet	-0.00031	0.4	     NA	      NA
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.CD52_1Mwindow.wgt.RDat	CD52	1	26144449	27147014	0.21727	rs11576981	  4.29	rs4471263	 0.309103	-16.94	  0.806	391	4	lasso	0.31	6.1e-77	-0.8421	4.00e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.CRYZ_1Mwindow.wgt.RDat	CRYZ	1	74671170	75698734	0.09391	rs12743802	  2.90	rs1409785	 0.068205	  7.03	 -0.292	369	1	top1	0.068	3.7e-16	-0.2920	7.70e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.NDUFS5_1Mwindow.wgt.RDat	NDUFS5	1	38992022	40000287	0.05681	rs2296175	 10.70	rs4147753	 0.045698	 -6.98	  1.372	367	1	top1	0.046	2.8e-11	-1.3720	1.70e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.FUCA1_1Mwindow.wgt.RDat	FUCA1	1	23671567	24694780	0.02191	rs2075993	 13.53	rs9424398	 0.016684	 -4.76	 -4.206	365	1	top1	0.017	4.7e-05	 4.2060	2.60e-05
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.UTS2_1Mwindow.wgt.RDat	UTS2	1	7407672	8413551	0.3492	rs7545677	  4.44	rs161827	 0.364352	 18.61	  0.050	441	1	top1	0.36	2e-93	 0.0500	9.60e-01
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.TMEM88B_1Mwindow.wgt.RDat	TMEM88B	1	861251	1865635	0.08248	rs3845293	  4.47	rs34054191	-0.001076	  3.52	  2.827	197	197	blup	-0.0011	0.91	 3.1379	1.70e-03
CD14_Mono	RA_only/CD14_Mono_5pcs_all/CD14_Mono.C1orf122_1Mwindow.wgt.RDat	C1orf122	1	37773462	38775126	0.0393	rs2492301	 -9.34	rs4072980	 0.002365	 -3.19	  3.076	412	412	blup	0.012	0.00045	-3.9469	7.92e-05
