PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
gdT	RA_only/gdT_5pcs_all/gdT.PRDM16-DT_1Mwindow.wgt.RDat	PRDM16-DT	1	2476181	3484289	0.0543	rs2500277	-2.65	rs2493254	 2.54e-03	  5.02	 0.5189	328	1	top1	0.0025	0.066	 0.5189	0.6038
gdT	RA_only/gdT_5pcs_all/gdT.ANXA9_1Mwindow.wgt.RDat	ANXA9	1	150454768	151468110	0.0288	rs7531602	-3.84	rs10305740	-8.45e-04	  5.73	 2.1540	298	1	top1	-0.00085	0.65	 2.1540	0.0312
gdT	RA_only/gdT_5pcs_all/gdT.CD52_1Mwindow.wgt.RDat	CD52	1	26144449	27147014	0.0279	rs2997447	-4.61	rs7555931	-6.15e-04	 -3.71	 0.0082	391	391	blup	0.0041	0.028	-1.4205	0.1555
gdT	RA_only/gdT_5pcs_all/gdT.PPOX_1Mwindow.wgt.RDat	PPOX	1	160636216	161641010	0.0266	rs2502806	 3.47	rs16832823	 1.20e-02	  4.11	 1.5373	369	369	blup	0.015	0.0001	-0.3511	0.7255
gdT	RA_only/gdT_5pcs_all/gdT.CHI3L2_1Mwindow.wgt.RDat	CHI3L2	1	111270281	112286062	0.1094	rs420033	 3.64	rs654997	 7.87e-02	  8.81	 0.0423	566	1	top1	0.079	9.2e-19	 0.0423	0.9663
gdT	RA_only/gdT_5pcs_all/gdT.SFN_1Mwindow.wgt.RDat	SFN	1	26689640	27690947	0.0244	rs12137896	 3.09	rs34676516	-1.03e-03	  3.43	 1.0231	243	1	top1	-0.001	0.87	 1.0231	0.3063
gdT	RA_only/gdT_5pcs_all/gdT.XCL2_1Mwindow.wgt.RDat	XCL2	1	168010006	169013235	0.1542	rs9659234	-3.20	rs1323533	 1.15e-01	-10.84	-0.2850	514	1	lasso	0.12	1.4e-27	 0.2850	0.7756
gdT	RA_only/gdT_5pcs_all/gdT.LINC00339_1Mwindow.wgt.RDat	LINC00339	1	21851684	22857717	0.0448	rs1256336	-3.24	rs2235529	 1.87e-02	 -4.42	 0.9298	503	1	lasso	0.027	2.1e-07	 0.1251	0.9004
gdT	RA_only/gdT_5pcs_all/gdT.KCNAB2_1Mwindow.wgt.RDat	KCNAB2	1	5552736	6661240	0.0295	rs742506	 2.64	rs6683017	 2.53e-04	 -3.87	 0.5651	515	515	blup	0.01	0.0012	 0.6458	0.5184
gdT	RA_only/gdT_5pcs_all/gdT.PPIAL4G_1Mwindow.wgt.RDat	PPIAL4G	1	147454635	148455394	0.0419		   NA		       NA	    NA	     NA	  0	0	lasso	0.027	2.3e-07	     NA	    NA
gdT	RA_only/gdT_5pcs_all/gdT.NBPF15_1Mwindow.wgt.RDat	NBPF15	1	148055984	149096263	0.0104		   NA		       NA	    NA	     NA	 NA	0	enet	0.0021	0.084	     NA	    NA
gdT	RA_only/gdT_5pcs_all/gdT.ECHDC2_1Mwindow.wgt.RDat	ECHDC2	1	52861582	53887446	0.0205	rs4926991	 2.99	rs12731800	 8.82e-05	  3.39	-0.5261	424	424	blup	0.0083	0.003	 0.0664	0.9471
