PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.GSTM3_1Mwindow.wgt.RDat	GSTM3	1	109776559	110783660	0.2185	rs7528419	-40.91	rs1332018	 1.66e-01	-12.78	  4.5603	416	3	lasso	0.18	2.4999999999999997e-43	 -4.7410	2.13e-06
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.SLC44A5_1Mwindow.wgt.RDat	SLC44A5	1	75167814	76581848	0.0357	rs12143716	  3.34	rs6703099	-1.00e-03	  4.34	  1.5403	567	567	blup	0.018	2e-05	  1.7344	8.28e-02
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.OR2L8_1Mwindow.wgt.RDat	OR2L8	1	247612160	248613098	0.0401	rs4925671	  2.69	rs12756270	-7.80e-04	  4.61	 -0.9516	418	1	lasso	-0.00034	0.41	 -0.9516	3.41e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.MED8_1Mwindow.wgt.RDat	MED8	1	43349588	44355471	0.0228		    NA		       NA	    NA	      NA	0	0	enet	0.017	3.2e-05	      NA	      NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.NDUFS5_1Mwindow.wgt.RDat	NDUFS5	1	38992022	40000287	0.1058		    NA		       NA	    NA	      NA	0	0	lasso	0.11	3.9999999999999996e-26	      NA	      NA
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.FCRL1_1Mwindow.wgt.RDat	FCRL1	1	157264193	158289910	0.0333	rs11264737	  3.36	rs12064217	 3.33e-03	  4.58	  0.4710	481	5	enet	0.015	6.9e-05	 -0.8639	3.88e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.GSTM1_1Mwindow.wgt.RDat	GSTM1	1	109730439	110736367	0.1033	rs7528419	-40.91	rs2239892	 6.23e-02	  4.93	  1.0786	429	1	top1	0.062	2e-15	  1.0786	2.81e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.ATP1B1_1Mwindow.wgt.RDat	ATP1B1	1	168575928	169601957	0.0345	rs6025	  2.77	rs17349586	 5.94e-03	  4.62	  0.5600	603	5	enet	0.0071	0.0049	  0.8099	4.18e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.PADI4_1Mwindow.wgt.RDat	PADI4	1	17134692	18190499	0.0315	rs15786	  3.11	rs2526833	 1.14e-02	  4.72	  1.0607	459	1	top1	0.011	0.00052	  1.0607	2.89e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.NPPA_1Mwindow.wgt.RDat	NPPA	1	11405766	12407840	0.1543	rs6674770	 -4.01	rs11121901	-1.03e-03	  7.75	  0.6983	435	1	lasso	-0.00097	0.81	 -0.1138	9.09e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.NTPCR_1Mwindow.wgt.RDat	NTPCR	1	232586357	233619628	0.0448	rs814216	  3.53	rs4141442	 2.75e-03	  5.20	 -0.0719	590	590	blup	0.017	2.9e-05	 -0.2323	8.16e-01
CD8_TEM	RA_only/CD8_TEM_5pcs_all/CD8_TEM.DNAJC16_1Mwindow.wgt.RDat	DNAJC16	1	15353343	16398228	0.0347	rs1980607	 -5.48	rs4646047	 1.64e-02	 -4.84	  0.1600	508	1	top1	0.016	3.8e-05	 -0.1600	8.73e-01
