PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
gdT	RA_only/gdT_5pcs_all/gdT.PRDM16-DT_1Mwindow.wgt.RDat	PRDM16-DT	1	2476181	3484289	0.0543	rs10492940	 3.31	rs2493254	 2.54e-03	  5.02	 0.2605	328	1	top1	0.0025	0.066	 0.2605	7.95e-01
gdT	RA_only/gdT_5pcs_all/gdT.ANXA9_1Mwindow.wgt.RDat	ANXA9	1	150454768	151468110	0.0288	rs10305724	-4.67	rs10305740	-8.45e-04	  5.73	-1.3309	298	1	top1	-0.00085	0.65	-1.3309	1.83e-01
gdT	RA_only/gdT_5pcs_all/gdT.CD52_1Mwindow.wgt.RDat	CD52	1	26144449	27147014	0.0279	rs12137896	-3.29	rs7555931	-6.15e-04	 -3.71	 0.6841	391	391	blup	0.0041	0.028	 0.0145	9.88e-01
gdT	RA_only/gdT_5pcs_all/gdT.PPOX_1Mwindow.wgt.RDat	PPOX	1	160636216	161641010	0.0266	rs1801274	-3.91	rs16832823	 1.20e-02	  4.11	-0.9508	369	369	blup	0.015	0.0001	 0.0910	9.27e-01
gdT	RA_only/gdT_5pcs_all/gdT.CHI3L2_1Mwindow.wgt.RDat	CHI3L2	1	111270281	112286062	0.1094	rs1389724	 4.16	rs654997	 7.87e-02	  8.81	 1.3878	566	1	top1	0.079	9.2e-19	 1.3878	1.65e-01
gdT	RA_only/gdT_5pcs_all/gdT.SFN_1Mwindow.wgt.RDat	SFN	1	26689640	27690947	0.0244	rs12137896	-3.29	rs34676516	-1.03e-03	  3.43	-0.2215	243	1	top1	-0.001	0.87	-0.2215	8.25e-01
gdT	RA_only/gdT_5pcs_all/gdT.XCL2_1Mwindow.wgt.RDat	XCL2	1	168010006	169013235	0.1542	rs12410719	 2.78	rs1323533	 1.15e-01	-10.84	-0.7382	514	1	lasso	0.12	1.4e-27	 0.7382	4.60e-01
gdT	RA_only/gdT_5pcs_all/gdT.LINC00339_1Mwindow.wgt.RDat	LINC00339	1	21851684	22857717	0.0448	rs10917152	-4.11	rs2235529	 1.87e-02	 -4.42	 1.1400	503	1	lasso	0.027	2.1e-07	-0.5860	5.58e-01
gdT	RA_only/gdT_5pcs_all/gdT.KCNAB2_1Mwindow.wgt.RDat	KCNAB2	1	5552736	6661240	0.0295	rs3007421	-3.63	rs6683017	 2.53e-04	 -3.87	-1.4357	515	515	blup	0.01	0.0012	 0.4567	6.48e-01
gdT	RA_only/gdT_5pcs_all/gdT.PPIAL4G_1Mwindow.wgt.RDat	PPIAL4G	1	147454635	148455394	0.0419		   NA		       NA	    NA	     NA	  0	0	lasso	0.027	2.3e-07	     NA	      NA
gdT	RA_only/gdT_5pcs_all/gdT.NBPF15_1Mwindow.wgt.RDat	NBPF15	1	148055984	149096263	0.0104		   NA		       NA	    NA	     NA	 NA	0	enet	0.0021	0.084	     NA	      NA
gdT	RA_only/gdT_5pcs_all/gdT.ECHDC2_1Mwindow.wgt.RDat	ECHDC2	1	52861582	53887446	0.0205	rs17108177	 5.05	rs12731800	 8.82e-05	  3.39	-1.7362	424	424	blup	0.0083	0.003	-1.7336	8.30e-02
gdT	RA_only/gdT_5pcs_all/gdT.CDC14A_1Mwindow.wgt.RDat	CDC14A	1	100310557	101485833	0.0318	rs12135888	-3.09	rs10875290	 2.84e-02	 -5.95	 0.7443	461	1	top1	0.028	1.1e-07	-0.7443	4.57e-01
